Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Date_Unix,Spread High-Low,Spread Close-Open,delta_Open,delta_High,delta_Low,delta_Close,delta_Spread High-Low,delta_Spread Close-Open,delta_Volume BTC,delta_Volume USD,MA_Close_24,MA_V_BTC_24,MA_Close_240,MA_V_BTC_240
2017-07-11 10-AM,BTCUSD,2362.9,2371.97,2342.85,2358.24,299.58,706764.67,1499767200000000000,29.12,-4.66,37.89,9.07,20.51,-4.66,-11.44,-42.55,-190.8,-444619.33,2373.98625,869.885833,2523.195792,421.532917
2017-07-11 11-AM,BTCUSD,2358.24,2374.99,2353.17,2360.1,403.09,952697.34,1499770800000000000,21.82,1.86,-4.66,3.02,10.32,1.86,-7.3,6.52,103.51,245932.67,2368.370417,871.779583,2522.574667,422.734958
2017-07-11 12-PM,BTCUSD,2360.1,2408.76,2359.98,2408.02,1057.12,2513044.67,1499774400000000000,48.78,47.92,1.86,33.77,6.81,47.92,26.96,46.06,654.03,1560347.33,2365.787917,881.4375,2522.239625,426.483958
2017-07-11 01-PM,BTCUSD,2408.02,2410.0,2351.84,2374.97,855.6,2042774.36,1499778000000000000,58.16,-33.05,47.92,1.24,-8.14,-33.05,9.38,-80.97,-201.52,-470270.31,2363.464583,892.613333,2521.908542,428.881125
2017-07-11 02-PM,BTCUSD,2374.97,2377.04,2335.0,2368.96,592.01,1398806.45,1499781600000000000,42.04,-6.01,-33.05,-32.96,-16.84,-6.01,-16.12,27.04,-263.59,-643967.91,2362.0375,845.230833,2521.531917,430.141917
2017-07-11 03-PM,BTCUSD,2368.96,2373.46,2360.0,2365.7,416.75,985996.39,1499785200000000000,13.46,-3.26,-6.01,-3.58,25.0,-3.26,-28.58,2.75,-175.26,-412810.06,2361.310833,821.707083,2521.106375,430.724958
2017-07-11 04-PM,BTCUSD,2365.7,2368.96,2356.02,2360.5,676.19,1597816.76,1499788800000000000,12.94,-5.2,-3.26,-4.5,-3.98,-5.2,-0.52,-1.94,259.44,611820.37,2359.13125,818.95375,2520.69175,432.167375
2017-07-11 05-PM,BTCUSD,2360.5,2365.8,2355.62,2361.42,475.67,1122862.73,1499792400000000000,10.18,0.92,-5.2,-3.16,-0.4,0.92,-2.76,6.12,-200.52,-474954.03,2356.6825,813.125833,2520.339375,432.606583
2017-07-11 06-PM,BTCUSD,2361.42,2362.27,2339.98,2346.82,394.99,928564.87,1499796000000000000,22.29,-14.6,0.92,-3.53,-15.64,-14.6,12.11,-15.52,-80.68,-194297.86,2354.499167,792.908333,2520.009708,432.018792
2017-07-11 07-PM,BTCUSD,2346.82,2350.5,2309.0,2310.83,930.95,2166973.23,1499799600000000000,41.5,-35.99,-14.6,-11.77,-30.98,-35.99,19.21,-21.39,535.96,1238408.36,2350.591667,803.337083,2519.488208,433.976083
2017-07-11 08-PM,BTCUSD,2310.83,2337.23,2309.01,2333.01,533.77,1239490.22,1499803200000000000,28.22,22.18,-35.99,-13.27,0.01,22.18,-13.28,58.17,-397.18,-927483.01,2348.217083,794.0225,2519.174708,433.404125
2017-07-11 09-PM,BTCUSD,2333.01,2343.99,2324.14,2329.63,523.7,1224082.64,1499806800000000000,19.85,-3.38,22.18,6.76,15.13,-3.38,-8.37,-25.56,-10.07,-15407.58,2347.730417,750.31375,2518.81225,432.949833
2017-07-11 10-PM,BTCUSD,2329.63,2356.73,2322.41,2341.45,520.12,1216184.69,1499810400000000000,34.32,11.82,-3.38,12.74,-1.73,11.82,14.47,15.2,-3.58,-7897.95,2348.085833,730.940833,2518.464167,433.680042
2017-07-11 11-PM,BTCUSD,2341.45,2342.5,2300.0,2310.01,784.13,1820818.88,1499814000000000000,42.5,-31.44,11.82,-14.23,-22.41,-31.44,8.18,-43.26,264.01,604634.19,2347.209167,652.355833,2517.99075,435.468042
